Identifier,Description
weatherObservations,Weather observations
weatherForecasts,Weather forecasts
meteorology,Meteorology
hydrology,Hydrology
climatology,Climatology
landMeteorologyClimate,Land meteorology climate
synopticMeteorology,Synoptic meteorology
marineMeteorology,Marine meteorology
agriculturalMeteorology,Agricultural meteorology
aerology,Aerology
marineAerology,Marine aerology
oceanography,Oceanography
landHydrology,Land hydrology
rocketSounding,Rocket sounding
pollution,Pollution
waterPollution,Water pollution
landWaterPollution,Land water pollution
seaPollution,Sea pollution
landPollution,Land pollution
airPollution,Air pollution
glaciology,Glaciology
actinometry,Actinometry
satelliteObservation,Satellite observation
airplaneObservation,Airplane observation
observationPlatform,Observation platform
spaceWeather,"The physical and phenomenological state of the natural space environment including the sun, the solar wind, the magnetosphere, the ionosphere and the thermosphere, and its
interaction with the Earth."
atmosphericComposition,"The chemical abundance in the Earth's atmosphere of its constituents including nitrogen, oxygen, argon, carbon dioxide, water vapour, ozone, neon, helium, krypton,
methane, hydrogen and nitrous oxide"
radiation,Radiation
